head	tail	relation
Norway	European Union	did not participate in
Norway	did not pass	electoral outcome
European Union (Finance) Act 2015	Act of the Parliament of the United Kingdom	instance of
European Union (Finance) Act 2015	decision of the Council of 26 May 2014 on the system of own resources of the European Union	approved by
European Union (Finance) Act 2015	definition of "the Treaties" and "the EU Treaties" in section 1(2) of the European Communities Act 1972	amended
European Union (Finance) Act 2015	21 July 2015	date of proceeding
European Union (Referendum) Act 2016 (Gibraltar)	Act of the Gibraltar Parliament	instance of
European Union (Referendum) Act 2016 (Gibraltar)	United Kingdom’s European Union Referendum Act 2015 in Gibraltar	interfaces with
referendum	issue of continued EU membership	held
Gibraltar	United Kingdom	joined organization
Gibraltar	1973	member has role
UK-wide referendum	Gibraltar	location in
European Union (Referendum) Act 2016 (Gibraltar)	26 January 2016	setting date
European Union (Referendum) Act 2016 (Gibraltar)	Governor of Gibraltar	proposed by
European Union (Referendum) Act 2016 (Gibraltar)	28 January 2016	date of proceeding
1995 enlargement of the European Union	EU's fourth enlargement	instance of
1995 enlargement of the European Union	1 January of that year	date established
Llamayuq Q'asa	llama	language of
Llamayuq Q'asa	-yuq	language of
Llamayuq	archaeological site	meaning
q'asa	mountain pass	meaning
Llamayuq Q'asa	Llamayojcasa	has alternative spelling
Llamayuq Q'asa	Llamayoqccasa	has alternative spelling
Llamayuq Q'asa	Llamayuq pass	alternative name
Llamayuq Q'asa	mountain pass with llamas	alternative name
Llamayuq Q'asa	Qucha Quyllur	alternative name
Qucha Quyllur	Qochaqollur	alternative name
Qucha Quyllur	lake star	meaning
Llamayuq Q'asa	mountain	instance of
Llamayuq Q'asa	eastern extensions of the Urupampa mountain range	part of the administrative territorial entity
Llamayuq Q'asa	Andes of Peru	part of the administrative territorial entity
Llamayuq Q'asa	about 4600 m	elevation
Llamayuq Q'asa	Cusco Region	part of the administrative territorial entity
Llamayuq Q'asa	Calca Province	part of the administrative territorial entity
Llamayuq Q'asa	Calca District	part of the administrative territorial entity
Q'irayuq	Llamayuq Q'asa	located east of
Llamayuq Q'asa	archaeological site of Llamayuq	site of excavation by museum
Yanaqucha (Carabaya)	black	linguistic relation
Yanaqucha (Carabaya)	lake	linguistic relation
Yanaqucha (Carabaya)	black lake	descriptive term
Yanaqucha (Carabaya)	Yanacocha	has alternative spelling
Yanaqucha (Carabaya)	mountain	instance of
Yanaqucha (Carabaya)	Willkanuta mountain range	range
Yanaqucha (Carabaya)	Andes of Peru	located in the region
Yanaqucha (Carabaya)	about 5000 m	height
Yanaqucha (Carabaya)	Puno Region	part of the administrative territorial entity
Yanaqucha (Carabaya)	Carabaya Province	part of the administrative territorial entity
Yanaqucha (Carabaya)	Corani	part of the administrative territorial entity
Yanaqucha (Carabaya)	Ollachea	part of the administrative territorial entity
Rit'i Wasi	Yanaqucha (Carabaya)	located east of
T'ika Pallana	Yanaqucha (Carabaya)	located north of
Llusk'a Rit'i	Yanaqucha (Carabaya)	southwest of
Khichu Suytuqucha	Quicho Suytococha	alternative name
Yanajirca (Huallanca)	Yana Hirka	has alternative spelling
"King Kong 2: Yomigaeru Densetsu"	role-playing video game	instance of
"King Kong 2: Yomigaeru Densetsu"	Konami	developer
"King Kong 2: Yomigaeru Densetsu"	Japan	country
"King Kong 2: Yomigaeru Densetsu"	King Kong Lives	is based on
"King Kong 2: Yomigaeru Densetsu"	King Kong 2	alternate title
"King Kong 2: Yomigaeru Densetsu"	"Hi no Tori" games	developer
"King Kong 2: Yomigaeru Densetsu"	MSX	platform
"King Kong 2: Yomigaeru Densetsu"	Famicom	platform
"King Kong 2: Yomigaeru Densetsu" Famicom version	King Kong	protagonist in
"King Kong 2: Yomigaeru Densetsu" Famicom version	action-oriented	genre
"King Kong 2: Yomigaeru Densetsu" Famicom version	The Legend of Zelda	is similar to
"King Kong 2: Yomigaeru Densetsu" MSX version	Mitchell	protagonist in
"King Kong 2: Yomigaeru Densetsu" MSX version	role-playing	genre
Christian Rivers	New Zealand storyboard artist	instance of
Christian Rivers	visual effects supervisor	occupation
Christian Rivers	special effects technician	instance of
Christian Rivers	director	instance of
Christian Rivers	Peter Jackson	met
Christian Rivers	17-year-old	age relation
Mortal Engines	Christian Rivers	story editor
Christian Rivers	Braindead	film appearance
The Lord of the Rings	Christian Rivers	film appearance
King Kong	Christian Rivers	film appearance
Mortal Engines	Christian Rivers	director
The Dam Busters	Christian Rivers	director
Mortal Engines	Peter Jackson	produced
The Dam Busters	Peter Jackson	produced
Kong: The Animated Series	American-Canadian television series for children	instance of
Kong: The Animated Series	King Kong	followed by
King Kong	monster of the 1933 film "King Kong"	instance of
Kong: The Animated Series	""	competitor in
Kong: The Animated Series	BKN International	supplier
Kong: The Animated Series	2000	date of publication
Fox Kids	May 2001	date of broadcast
Peter Jackson's King Kong	Kong: The Animated Series	sequel of
Kong: The Animated Series	Two direct-to-DVD movies	derivative work from
Kong: King of Atlantis	2005	date of publication
Harry Judd	23 December 1985	date of birth
Harry Judd	English musician	instance of
McFly	Harry Judd	member of
McFly	Harry Judd	member of
McFly	Tom Fletcher	member of
McFly	Dougie Poynter	member of
McFly	Danny Jones	member of
Strictly Come Dancing 2011 series	Harry Judd	won prize
Danny Jones	1986	date of birth
Danny Jones	English musician	instance of
McFly	Danny Jones	member of
Lies	fifteenth single from McFly	instance of
Lies	15 September 2008	date of publication
Lies	promotional 10-track copy of the album	not included on
promotional 10-track copy of the album	The Mail on Sunday	distributed in
promotional 10-track copy of the album ""	July 2008	date of manufacture
"Lies"	retail edition of the album	tracks
retail edition of the album	22 September 2008	date of publication
Danny Jones	"Lies"	vocalist
Tom Fletcher	"Lies"	vocalist
"Lies"	Dougie Poynter	contributor to
Danny Jones	12 March 1986	date of birth
Danny Jones	British musician	instance of
Danny Jones	McFly	member of band
Tom Fletcher	McFly	member of band
Tom Fletcher	guitar and vocals	plays instrument
Dougie Poynter	McFly	member of band
Dougie Poynter	bass and vocals	plays instrument
Harry Judd	McFly	member of band
Harry Judd	drums	plays instrument
Danny Jones (basketball)	retired American professional basketball player	instance of
George Cole (musician)	American music producer	instance of
George Cole (musician)	composer	instance of
George Cole (musician)	lyricist	instance of
George Cole (musician)	vocalist	instance of
George Cole (musician)	session musician	instance of
George Cole (musician)	guitarist	instance of
Gypsy jazz/Uptown Swing band	George Cole (musician)	fronted
David Grisman Quintet	George Cole (musician)	member of
Beatnik Beatch	George Cole (musician)	member of
Big Blue Hearts	George Cole (musician)	member of
Old Barag Banner	Northeastern Inner Mongolia	is part of
Old Barag Banner	People's Republic of China	administrative division
Old Barag Banner	Hailar District	distance from
Hailar District	Hulunbuir City	located in administrative center
Hulunbuir City	Old Barag Banner	operated on behalf of
Clearfield Area School District	Public school district of Pennsylvania	instance of
Clearfield Area School District	345 square miles	area
Clearfield Area School District	Borough of Clearfield	part of the administrative territorial entity
Clearfield Area School District	Bradford Township	part of the administrative territorial entity
Clearfield Area School District	Covington Township	part of the administrative territorial entity
Clearfield Area School District	Girard Township	part of the administrative territorial entity
Clearfield Area School District	Goshen Township	part of the administrative territorial entity
Clearfield Area School District	Knox Township	part of the administrative territorial entity
Clearfield Area School District	Lawrence Township	part of the administrative territorial entity
Clearfield Area School District	Pine Township	part of the administrative territorial entity
School District population (25 years old and over)	85.5%	proportion of
School District population (25 years old and over)	11.9%	proportion of
Babati Rural District	Manyara Region of Tanzania	located in the administrative region
Babati Rural District	East Africa	located in the region
Babati Rural District	Babati town	administrative division
Babati town	172 km south	distance from
Babati Rural District	6069 sqkm	area
Lake Babati	640 km	covered land area
Lake Burunge	640 km	covered land area
Lake Manyara	640 km	covered land area
Babati Rural District	Arusha Region	border northern
Babati Rural District	Simanjiro District	border northern
Babati Rural District	Dodoma Region	border northern
Babati Rural District	Hanang District	border northern
Thomas Merton	American Catholic writer	instance of
Thomas Merton	theologian	instance of
Thomas Merton	mystic	instance of
Thomas Merton	Trappist monk	instance of
Thomas Merton	poet	instance of
Thomas Merton	social activist	instance of
Thomas Merton	student of comparative religion	instance of
Thomas Merton	1949	ordination date
Thomas Merton	Father Louis	religious denomination
William Somerset Maugham	W. Somerset Maugham	common name
W. Somerset Maugham	British playwright	instance of
W. Somerset Maugham	novelist	instance of
W. Somerset Maugham	short story writer	instance of
W. Somerset Maugham	the most popular writers of his era	notable work
W. Somerset Maugham	reputedly the highest-paid author during the 1930s	characteristic
W. Somerset Maugham	25 January 1874	date of birth
W. Somerset Maugham	16 December 1965	date of death
List of works about Thomas Merton	List of works about Thomas Merton	instance of
List of works about Thomas Merton	bibliography	instance of
List of works about Thomas Merton	categories	topics
Thomas Merton Award	1972	inception period
Thomas Merton Award	Thomas Merton Center for Peace and Social Justice	award received during
Thomas Merton Award	Thomas Merton	is named after
Thomas Merton Award	national and international individuals struggling for justice	award given to
Somerset Maugham Award	British literary prize	instance of
Somerset Maugham Award	Society of Authors	award received during
Somerset Maugham Award	the best writer or writers of a book published in the past year who is under the age of 35	award received during
Somerset Maugham Award	1947	inception period
Somerset Maugham Award	William Somerset Maugham	founder of
Somerset Maugham Award	William Somerset Maugham	is named after
Somerset Maugham Award	foreign travel	purpose of
International Thomas Merton Society	1987	inception period
International Thomas Merton Society	learned society	instance of
International Thomas Merton Society	Thomas Merton	subject of analysis for
